id,user_id,cwa_id,discipline_id,projectId,phaseId,cwpUnit,ewpRefId,ewpRefNo,cwa,cwpSubArea,cwpLevel,cwpType,cwpIcsu,cwpTitle,cwpDescription,cwpNo,cwpRevision,cwpDocumentContNo,cwpPlannedRelease,cwpPlannedComplete,cwpPlannedHours,cwpForecastRelease,cwpForecastComplete,cwpForecastHours,cwpActualRelease,cwpActualComplete,cwpActualHours,cwpLink,cwpWorkOwners,cwpWorkReleaseDate,cwpWorkConstruction,cwpWorkConstructionDate,cwpCompleteOwners,cwpCompleteReleaseDate,cwpCompleteConstruction,cwpCompleteConstructionDate,in_schedule,status,current_status,addDate,cwpPlannedReleaseExe,cwpPlannedCompleteExe,cwpPlannedHoursExe,cwpActualReleaseExe,cwpActualCompleteExe,cwpActualHoursExe,cwpForecastReleaseExe,cwpForecastCompleteExe,cwpForecastHoursExe,cwpCompilerPath,manualOrSystemStart,manualOrSystemComplete,my_selection,my_packages,import,wbsShortCode,contractorId,delayDuration,cwpSupervisor,auditUserid,auditDate,releaseConsSupApprovalStatus,releaseConsSup,releaseConsSupDate,releaseConsSupRemarks,compiledById,checkedById,approvedById,cwpReleaseStatus,releaseLead,releaseLeadDate,releaseLeadRemarks,releaseEngMgr,releaseEngMgrDate,releaseEngMgrRemarks,cwpManager,cwpLead,releaseConstMgr,releaseConstMgrDate,releaseConstMgrRemarks,releaseConstMgrApprovalStatus,releaseHold,cwpReleaseHold,cwpReleaseRisks,cwpReleaseMitigationPlan,contractorDcn,revisionDescription,blockchainWorkBlockId,blockchain_status,linked_area,reject_remark,pc_ForecastComplete_Quaterly,pc_ForecastStart_Quaterly_Exe,pc_ForecastFinish_Quaterly_Exe,releaseBlockchainStatus
"1592","166",\N,"97","1","3","174","0","EW-A12-1X11-B-FI-CV","A12","1X11","A","FI","500","Area 1 Desalter & Heater - Civil","Area 1 Desalter & Heater - Civil","CW-A12-1X11-B-FI-CV","1",\N,"0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1621931508","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","1","1","","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1593","1",\N,"97","1","3","174","1812","EW-A11-1X11-C-FI-CV","A11","1X11","B","FI","CV","Area 2 Desalter & Heater - Civil","Area 2 Desalter & Heater - Civil","CW-A11-1X11-C-FI-CV","1",\N,"0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1602854863","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","0","1","","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1594","1",\N,"5","1","3","174","1813","EW-A12-1X11-D-FI-PI","A12","1X11","C","FI","CV","Area 3 Desalter & Heater - Civil","Area 3 Desalter & Heater - Civil","CW-A12-1X11-D-FI-PI","1",\N,"0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1602854863","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","0","1","","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1595","1",\N,"5","1","3","174","1814","EW-A11-1X11-E-FI-PI","A11","1X11","D","FI","PI","Area 1 Dealter & Heater -Piping","Area 1 Dealter & Heater -Piping","CW-A11-1X11-E-FI-PI","1",\N,"0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1602854863","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","0","1","","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1596","1",\N,"5","1","2","151","1872","EW-A01-WP2.2-010-GN-MC-300","A01-WP2.2-010","10","GN","FI","CS","Piping Installation","Piping Installation","CW-A01-WP2.2-010-GN-MC-300","1",\N,"0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","2020-12-20","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1630656974","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","1","1","","1",\N,"166",\N,\N,"2","166","2021-05-31 01:57:58","I am signing off this CWP as a Construction supervisor",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,"137",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1597","200",\N,"5","1","1","176","1784","EW-B01-WP1.1-010-1X11-Z-FI-CON","B01-WP1.1-010","WP1.1","1","FI","500","Concrete Test package","Concrete Test package","CWP-TR-111","2","TR-111","2020-07-01","2022-08-01","0","2020-07-01","2022-08-01","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00","","3",\N,"1659093487","0000-00-00","0000-00-00","0","2021-10-25",\N,"0","0000-00-00","0000-00-00","0",\N,"1","1","0","1","0","T20221206","1",\N,"177",\N,\N,\N,"177","2021-04-15 06:22:50","I am signing off this package as a Construction supervisor",\N,\N,\N,"1","200","2022-07-29 11:18:07","undefined",\N,\N,\N,"162",\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,"2022-08-01","0000-00-00","0000-00-00",\N
"1598","166",\N,"97","1","3","173","1808","EW-A31-1100-X-FI-CV","A31","1100","X","FI","500","Foundation Work For Equipment","Foundation Work For Equipment","CWP-A31-1100-X-FI-CV","1","TR-111","0000-00-00","0000-00-00","70","0000-00-00","0000-00-00","70","2020-10-10","2021-01-24","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1611505199","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","1","1","1","","1",\N,"137","1","2021-01-24","2","137","2021-01-24 04:20:00","I am signing off this CWP",\N,\N,\N,"4","1","2021-01-24 04:11:40","test release",\N,\N,\N,"166",\N,\N,\N,\N,"1","1","","","","C1-E&I001","Initial Draft",\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1599","166",\N,"97","1","3","173","1810","EW-A32-1H11-Z-FI-CV","A32","1H11","Z","FI","500","Foundation work For Equipment","Foundation work For Equipment","CWP-A32-1H11-Z-FI-CV","1","T45.123.112","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","0000-00-00","2021-01-25","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1611561334","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","1","1","","1",\N,"137",\N,\N,"2","137","2021-01-25 07:55:34","I am signing off this CWP as a Construction Supervisor","6","3","5","4","166","2021-01-25 07:49:03","I am releasing this CWP by site engineer",\N,\N,\N,"166",\N,"166","2021-01-25 07:50:20","I am releasing this CWP with holds","2","2","The CWP has been released with holds -: Trade Coordination, Fabrication / Engineering, Equipment Unavailable ,  Trades Unavailable.","Reduce the risk by planning effective action in the cases where the problem manifests. Poor material and equipment management. Also the poor documentation is also an important factor.","Mitigation plans involve the -: Avoid the risk entirely by eliminating the root cause of the potential problem. Reduce the risk by planning effective action in the cases where the problem manifests.","T45.123.112",\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1600","166",\N,"97","1","3","173","1809","EW-A32-1F11-S-FI-CV","A32","1F11","S","FI","500","Area 1 Desalter & Heater - Civil","Area 1 Desalter & Heater - Civil","CWP-A32-1F11-S-FI-CV","1",\N,"0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"3",\N,"1612455169","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","1","1","","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
"1601","177",\N,"97","1","2","151","0",\N,"Storage Facility","10","A","FI","500","Civil work of Platforms","Civil work of Platforms","101001","1","","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","2021-02-20","2021-05-31","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00","","3",\N,"1622471166","0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,"0000-00-00","0000-00-00",\N,\N,"0","0","0","1","0","","1",\N,"166",\N,\N,"3","166","2021-05-31 02:26:07","I am rejecting this package",\N,\N,\N,"4","177","2021-05-31 02:24:54","I am releasing this ewp as a site engineer",\N,\N,\N,"137",\N,\N,\N,\N,"1","1","","","",\N,\N,\N,\N,\N,\N,"0000-00-00","0000-00-00","0000-00-00",\N
