disciplineId,projectId,packageid,disciplineName,primeCode,sub_disc,status,addDate,disciplineCode,primeCodeDescription
"3","1","1,2,3,4","ARCHITECTURAL & BUILDINGS","18","1","1","2018-07-19",\N,\N
"5","1","1,2,3,4,5","PIPING","30","1","1","2020-07-20","PIP",\N
"6","1","1,2,3,4,5","Electrical-General","40","0","1","2021-06-09","",\N
"8","1","1,2,3,4","PROTECTIVE COATINGS","60","0","1","2018-06-18",\N,\N
"9","1","1,2,3,4","STEEL STRUCTURE","16","0","1","2019-12-10",\N,\N
"10","1","1,2,3,4","COMMISSIONING & STARTUP","92","0","1","2018-06-18",\N,\N
"11","1","1,2,3,4,5","INSTRUMENTATION","50","0","1","2021-03-30","",\N
"14","1","1,2,3,4","PRE-COMMISSIONING","90","1","1","2018-06-18",\N,\N
"40","3","1,2,3","EARTH WORKS & CIVIL","10","1","1","2018-06-09",\N,\N
"97","1","1,2,3,4,5","CIVIL","10","1","1","2021-02-01","",\N
"98","1","1,2,3,4","PILING","12","0","1","2018-06-18",\N,\N
"99","1","1,2,3,4","EQUIPMENT & MODULES","20","0","1","2018-06-18",\N,\N
"100","1","1,2,3,4","SITE GENERAL DIRECTS","65","0","1","2018-06-18",\N,\N
"101","1","1,2,3,4","MODULE YARDS","68","0","1","2018-06-18",\N,\N
"102","1","1,2,3,4","CONSTRUCTION TOOLS & EQUIPMENT","76","0","1","2018-06-18",\N,\N
"103","1","1,2,3,4","TEMPORARY FACILITIES & UTILITIES","72","0","1","2018-06-18",\N,\N
"104","1","1,2,3,4","TEMPORARY SERVICES & SUPPLIES","74","0","1","2018-06-18",\N,\N
"105","1","1,2","GENERAL CONSTRUCTION OVERHEADS","78","0","1","2018-06-18",\N,\N
"106","1","1,2,3,4","FRONT END ENGINEERING DESIGN (FEED)","80","0","1","2018-06-18",\N,\N
"107","1","1,2,3,4","DETAILED ENGINEERING & PROCUREMENT","82","0","1","2018-06-18",\N,\N
"108","1","1,2,3,4","OWNERS COSTS","84","0","1","2018-06-18",\N,\N
"109","1","1,2,3,4","CORPORATE ALLOCATIONS","86","0","1","2018-06-18",\N,\N
"110","1","1,2,3,4","ALLOWANCES","80","1","1","2018-07-19",\N,\N
"111","1","1,2,3,4","CONCRETE","14","0","1","2018-07-18",\N,\N
"112","1","1,2,3,4","CM & ADMIN SITE STAFF","70","0","1","2018-07-19",\N,\N
"138","8","1,2,3,4,5","Earth Works & Civil","10","0","1","2019-05-14",\N,\N
"140","8","1,2,3,4,5","Piling","12","1","1","2019-05-14",\N,\N
"141","8","1,2,3,4,5","Structural Steel","16","0","1","2019-05-14",\N,\N
"143","8","4","Equipment & Modules","21","0","1","2019-05-14",\N,\N
"144","8","1,2,3,4,5","Piping","30","1","1","2019-05-13",\N,\N
"145","8","1,2,3,4,5","Electrical","40","1","1","2019-05-13",\N,\N
"146","8","1,2,3,4,5","Instrumentation","50","0","1","2019-05-14",\N,\N
"148","8","4","Site General Directs","65","0","1","2019-05-13",\N,\N
"149","8","4","Module Yards","68","0","1","2019-05-13",\N,\N
"151","8","4","Temporary Facilities & Utilities","72","0","1","2019-05-13",\N,\N
"152","8","4","Temporary Services & Supplies","74","0","1","2019-05-13",\N,\N
"153","8","4","Construction Tools & Equipment","76","0","1","2019-05-13",\N,\N
"154","8","4","General Construction Overheads","78","0","1","2019-05-13",\N,\N
"155","8","4","Front End Engineering Design (Feed)","80","0","1","2019-05-13",\N,\N
"156","8","4","Detailed Engineering & Procurement","82","1","1","2019-05-13",\N,\N
"157","8","4","Owners Cost","84","0","1","2019-05-13",\N,\N
"160","8","4","Pre-commissioning","90","0","1","2019-05-13",\N,\N
"170","9","1,2,3,4","CIVIL","10","1","1","2019-03-16",\N,\N
"171","9","1,2,3,4","PILING","12","0","1","2018-07-09",\N,\N
"174","9","1,2,3,4","COMMON","14","0","1","2019-03-16",\N,\N
"178","9","1,2,3,4","STRUCTURAL STEEL","16","0","1","2018-07-10",\N,\N
"179","9","1,2,3,4","ARCHITECTURAL & BUILDINGS","18","0","1","2018-07-10",\N,\N
"180","9","1,2,3,4","ELECTRICAL","20","0","1","2019-03-16",\N,\N
"181","9","1,2,3,4","PIPING","30","0","1","2018-07-10",\N,\N
"182","2","1,2,3,4","EARTH WORKS & CIVIL","10","1","1","2018-07-31",\N,\N
"183","2","1,2,3,4","PILING","12","1","1","2018-07-31",\N,\N
"187","2","1,2,3,4","CONCRETE","14","1","1","2018-07-31",\N,\N
"191","2","1,2,3,4","STRUCTURAL STEEL","16","0","1","2018-07-31",\N,\N
"192","2","1,2,3,4","ARCHITECTURAL & BUILDINGS","18","1","1","2018-07-31",\N,\N
"193","2","1,2,3,4","EQUIPMENT & MODULES","20","0","1","2018-07-31",\N,\N
"195","2","1,2,3,4,5","PIPING","30","1","1","2018-08-30",\N,\N
"196","2","1,2,3,4,5","ELECTRICAL","40","1","1","2018-08-30",\N,\N
"197","2","1,2,3,4","INSTRUMENTATION & AUTOMATION","50","0","1","2018-07-31",\N,\N
"198","2","1,2,3,4","PROTECTIVE COATINGS","60","0","1","2018-07-31",\N,\N
"199","2","1,2,3,4","SITE GENERAL DIRECTS","65","0","1","2018-07-31",\N,\N
"200","2","1,2,3,4","MODULE YARDS","68","0","1","2018-07-31",\N,\N
"201","2","1,2,3","CM & ADMIN SITE STAFF","70","0","1","2018-07-31",\N,\N
"202","2","1,2,3,4","TEMPORARY FACILITIES & UTILITIES","72","0","1","2018-07-31",\N,\N
"203","2","1,2,3,4","TEMPORARY SERVICES & SUPPLIES","74","0","1","2018-07-31",\N,\N
"204","2","1,2","CONSTRUCTION TOOLS & EQUIPMENT","76","0","1","2018-07-31",\N,\N
"205","2","1,2,3,4","GENERAL CONSTRUCTION  OVERHEADS","78","0","1","2018-07-31",\N,\N
"206","2","1,2,3,4","FRONT END ENGINEERING DESIGN (FEED)","80","0","1","2018-07-31",\N,\N
"207","2","1,2,3","DETAILED ENGINEERING & PROCUREMENT","82","0","1","2018-07-31",\N,\N
"208","2","1,2,3","OWNERS COSTS","84","0","1","2018-07-31",\N,\N
"209","2","1,2,3,4","CORPORATE ALLOCATIONS","86","0","1","2018-07-31",\N,\N
"210","2","1,2,3,4","ALLOWANCES","88","0","1","2018-07-31",\N,\N
"211","2","1,2,3,4","PRE-COMMISSIONING","90","0","1","2018-07-31",\N,\N
"213","2","1,2,3,4","COMMISSIONING & STARTUP","92","0","1","2018-07-31",\N,\N
"218","8","4","Construction Workplace and Equipment Involved","93","0","1","2019-05-06",\N,\N
"221","2","5","Process","95","0","1","2018-08-30",\N,\N
"222","2","5","Mechanical","96","0","1","2018-08-30",\N,\N
"223","2","5","Civil Structural","97","0","1","2018-08-30",\N,\N
"224","3","5","Process","95","0","1","2018-08-30",\N,\N
"226","9","5","Process","95","0","1","2018-08-30",\N,\N
"227","15","5","Process","95","0","1","2018-08-30",\N,\N
"228","8","1,4,5","Mobilization","01","0","1","2019-07-25",\N,\N
"231","8","1,2,3,4,5","Mechanical","20","0","1","2019-07-25",\N,\N
"234","8","4","Construction Related Things","98","0","1","2019-05-06",\N,\N
"236","1","5","Structural Design","01","0","1","2019-02-19",\N,\N
"238","1","1,2,3","Excavation","101","0","1","2018-09-14",\N,\N
